iter	Passed	Remaining
170	230	1117
171	230	1111
172	231	1106
173	232	1101
174	232	1096
175	233	1091
176	233	1086
177	234	1082
178	234	1077
179	235	1073
180	236	1068
181	236	1063
182	237	1059
183	237	1054
184	238	1049
185	238	1045
186	239	1040
187	239	1036
188	240	1031
189	241	1027
190	241	1023
191	242	1019
192	242	1015
193	243	1011
194	243	1007
195	244	1003
196	245	999
197	245	995
198	246	990
199	246	987
200	247	983
201	247	979
202	248	975
203	249	972
204	249	968
205	250	964
206	250	960
207	251	956
208	251	953
209	252	950
210	253	946
211	253	942
212	254	939
213	254	935
214	255	931
215	255	929
216	256	926
217	257	923
218	257	919
219	258	916
220	259	913
221	259	910
222	260	906
223	260	903
224	261	900
225	261	897
226	262	894
227	263	890
228	263	887
229	264	885
230	265	882
231	265	879
232	266	877
233	267	874
234	267	871
235	268	868
236	268	865
237	269	862
238	269	858
239	270	855
240	270	853
241	271	850
242	272	847
243	272	844
244	273	841
245	273	838
246	274	835
247	274	833
248	275	830
249	275	827
250	276	824
251	276	822
252	277	819
253	277	816
254	278	814
255	279	811
256	279	809
257	280	806
258	281	803
259	281	801
260	282	799
261	282	796
262	283	793
263	283	791
264	284	788
265	284	786
266	285	783
267	286	781
268	286	779
269	287	776
270	287	774
271	288	771
272	288	769
273	289	766
274	290	764
275	290	762
276	291	759
277	291	757
278	292	755
279	292	752
280	293	750
281	293	748
282	294	745
283	294	743
284	295	741
285	295	738
286	296	736
287	296	734
288	297	732
289	298	729
290	298	727
291	299	725
292	299	723
293	300	721
294	301	719
295	301	717
296	302	715
297	302	713
298	303	710
299	303	708
300	304	706
301	305	704
302	305	702
303	306	700
304	306	698
305	307	696
306	307	694
307	308	692
308	308	690
309	309	688
310	309	686
311	310	684
312	310	682
313	311	680
314	311	678
315	312	677
316	313	675
317	313	673
318	314	671
319	314	669
320	315	667
321	315	665
322	316	663
323	317	661
324	317	659
325	318	657
326	318	655
327	319	653
328	319	651
329	320	650
330	320	648
331	321	646
332	321	644
333	322	642
334	322	640
335	323	638
336	323	637
337	324	635
338	324	633
339	325	631
340	325	629
341	326	627
342	326	626
343	327	624
344	328	623
345	328	621
346	329	619
347	329	617
348	330	616
349	330	614
350	331	612
351	332	611
352	332	609
353	333	607
354	333	606
355	334	604
356	334	603
357	335	601
358	335	599
359	336	598
360	337	597
361	337	595
362	338	594
363	339	592
364	339	590
365	340	589
366	340	587
367	341	585
368	341	584
369	342	582
370	342	581
371	343	579
372	344	578
373	344	576
374	345	575
375	345	573
376	346	572
377	346	570
378	347	569
379	347	567
380	348	565
381	348	564
382	349	563
383	350	561
384	350	560
385	351	558
386	351	557
387	352	555
388	352	554
389	353	552
390	354	551
391	354	550
392	355	549
393	356	547
394	356	546
395	357	544
396	357	543
397	358	542
398	359	540
399	359	539
400	360	537
401	360	536
402	361	534
403	361	533
404	362	532
405	362	530
406	363	529
407	363	527
408	364	526
409	364	525
410	365	523
411	366	522
412	366	520
413	367	519
414	367	518
415	368	516
416	368	515
417	369	514
418	369	512
419	370	511
420	371	510
421	371	509
422	372	508
423	373	507
424	374	506
425	374	505
426	375	503
427	376	502
428	376	501
429	377	500
430	378	499
431	378	498
432	379	496
433	380	495
434	381	494
435	381	493
436	382	492
437	382	491
438	383	490
439	384	489
440	385	488
441	385	487
442	386	485
443	387	484
444	387	483
445	388	482
446	389	481
447	389	480
448	390	479
449	390	477
450	391	476
451	392	475
452	392	474
453	393	473
454	393	471
455	394	470
456	395	469
457	395	468
458	396	467
459	397	466
460	397	465
461	398	464
462	399	463
463	400	462
464	400	461
465	401	460
466	402	458
467	402	457
468	403	456
469	404	455
470	404	454
471	405	453
472	406	452
473	406	451
474	407	450
475	408	449
476	408	448
477	409	447
478	409	445
479	410	445
480	411	443
481	412	442
482	412	441
483	413	440
484	413	439
485	414	438
486	415	437
487	415	436
488	416	435
489	417	434
490	417	433
491	418	432
492	419	431
493	419	430
494	420	429
495	421	428
496	421	427
497	422	426
